VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,01-03-2016 00:00,01-03-2016 00:08,2,2.3,-73.97753143,40.75334167,1,N,-74.0013504,40.73129272,1,9,0.5,0.5,3.05,0,0.3,13.35
1,01-03-2016 00:00,01-03-2016 00:05,1,0.5,-73.97672272,40.68385696,1,N,-73.97851563,40.68935776,1,5,0.5,0.5,4,0,0.3,10.3
2,01-03-2016 00:00,01-03-2016 00:21,1,5.66,-73.97499847,40.75767136,1,N,-73.89971924,40.72565842,2,20,0.5,0.5,0,0,0.3,21.3
2,01-03-2016 00:00,01-03-2016 00:05,6,1.47,-73.97740936,40.75219345,1,N,-73.99633789,40.74768829,1,6.5,0.5,0.5,1.95,0,0.3,9.75
1,01-03-2016 00:00,01-03-2016 00:15,1,2.8,-74.00601196,40.74011993,1,N,-73.97261047,40.75631714,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,01-03-2016 00:00,01-03-2016 00:39,3,18.34,-73.79316711,40.65682983,5,N,-73.79316711,40.65682983,2,58.34,0,0.5,0,0,0.3,59.14
2,01-03-2016 00:00,01-03-2016 00:07,6,1.74,-73.9786377,40.76277924,1,N,-73.97730255,40.78361893,1,8,0.5,0.5,1.86,0,0.3,11.16
1,01-03-2016 00:00,01-03-2016 00:40,1,20.2,-73.78993225,40.64365005,2,Y,-73.97976685,40.71455765,2,52,0,0.5,0,0,0.3,52.8
2,01-03-2016 00:00,01-03-2016 00:05,1,0.9,-73.97323608,40.75959015,1,N,-73.98795319,40.76502609,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,01-03-2016 00:00,01-03-2016 00:14,1,3.37,-73.95195007,40.77960968,1,N,-73.98918915,40.75630951,1,13,0.5,0.5,1,0,0.3,15.3
2,01-03-2016 00:00,01-03-2016 00:10,1,1.2,-73.97566986,40.75677109,1,N,-73.98316193,40.76688385,1,8,0.5,0.5,2.32,0,0.3,11.62
2,01-03-2016 00:00,01-03-2016 00:38,2,18.95,-73.79023743,40.64403915,2,N,-73.96041107,40.81586838,2,52,0,0.5,0,5.54,0.3,58.34
1,01-03-2016 00:00,01-03-2016 00:13,4,2.5,-73.98733521,40.73789978,1,N,-73.98337555,40.76454163,1,11,0.5,0.5,3.07,0,0.3,15.37
2,01-03-2016 00:00,01-03-2016 00:15,6,3.32,-73.9969635,40.72977829,1,N,-73.99897003,40.76095963,1,13,0.5,0.5,1,0,0.3,15.3
1,01-03-2016 00:00,01-03-2016 00:13,1,3.9,-73.99159241,40.72639465,1,N,-73.95220947,40.74953079,2,14,0.5,0.5,0,0,0.3,15.3
1,01-03-2016 00:00,01-03-2016 00:01,2,0.2,-73.98856354,40.74924088,1,N,-73.98527527,40.75021362,2,3,0.5,0.5,0,0,0.3,4.3
2,01-03-2016 00:00,01-03-2016 00:12,1,2.81,-73.98783875,40.74422073,1,N,-73.97911835,40.71376419,1,12,0.5,0.5,3.32,0,0.3,16.62
2,01-03-2016 00:00,01-03-2016 00:18,5,7.91,-73.98805237,40.75964737,1,N,-73.93750763,40.83939362,1,24.5,0.5,0.5,5.16,0,0.3,30.96
1,01-03-2016 00:00,01-03-2016 00:12,1,2.9,-73.98555756,40.74190521,1,N,-73.95589447,40.7746048,1,11.5,0.5,0.5,2.55,0,0.3,15.35
1,01-03-2016 00:00,01-03-2016 00:33,1,10,-73.96387482,40.80819702,1,N,-73.95819092,40.71068954,1,33,0.5,0.5,5,0,0.3,39.3
2,01-03-2016 00:00,01-03-2016 00:04,1,1.07,-73.97466278,40.75336838,1,N,-73.98757172,40.7472496,1,5.5,0.5,0.5,1.36,0,0.3,8.16
1,01-03-2016 00:00,01-03-2016 00:23,2,9.1,-73.97673035,40.78847504,1,N,-73.860466,40.83351898,2,27.5,0.5,0.5,0,0,0.3,28.8
